book_id,title,author,author_last_first,additional_Authors,isbn,isbn13,my_rating,publisher,binding,number_of_pages,year_published,original_publication_year,date_read,date_added,bookshelves,bookshelves_with_positions,read_status,my_review,spoiler,private_notes,read_count,owned_copies
28239935,Artemis,Andy Weir,"Weir, Andy",,"=""0091956943""","=""9780091956943""",4,Del Rey,Hardcover,309,2017,2017,2018/01/03,2018/01/01,,,read,"I actually burst out laughing at the line in this saying ""only an idiot relies on duct tape to maintain a pressure seal."" Poor Mark Watney, everyone's favourite sci-fi idiot. First read of 2018, here we go!<br/><br/>Andy Weir's writing appeals very precisely to my kind of nerdery, and like The Martian this was right up my alley. Jazz Bashara is a smuggler in Artemis, the moon's first city, who gets caught up in a heist. Take the formula of every heist movie you love, stage it in a low gravity vacuum, throw in the Weir trademark of pitting the characters up against very probable complications (low-grav vacuum, remember?) and forcing them to ""science the shit"" past each obstacle, and you have Artemis. I love it.<br/><br/>Straight up, this is not the modern masterpiece that The Martian was. In that book, Mark Watney overcoming all odds on Mars serves the narrative - one man against all the odds (plus the massive global effort of space programs back on Earth). It needs a triumph. So Mark has an uncanny ability to luck (or science) his way out of situations which most certainly should have killed him. In Artemis the story is not of space survival so much as space hijinks. The stakes are still high (again, low-grav vacuum) but that just serves to add tension - it's not the central theme. So when Jazz has the same knack of saving herself from impossible death scenarios, it invites a bit more scepticism. <br/><br/>A couple of miscellaneous good things this book has that I want to praise:<br/><br/>▪️A racially and ethnically diverse cast. Weir has an excellent appreciation of space exploration (and science in general) as a global collaborative effort. He refuses to take the lazy (and inaccurate) route of populating his books with mainly white Americans. In fact, he takes care to detail how Artemis the city couldn't have arisen out of NASA and America.<br/><br/>▪️ A female protagonist - a woman of Muslim heritage no less. I can't speak to the cultural representation but I can talk about the gender. Jazz is exactly the kind of protagonist we need to see more of in our media. Unlike some male authors, the female aspect hasn't been awkwardly stumbled over. Weir has written her as a complete character first (as he would a male character), then upon editing has refined the gendered moments outwith his experience based on female feedback. There are tiny woman-written-by-man moments I as a reader clashed with, but they are few. There's room for improvement but overall we get a well-rounded, three-dimensional female protagonist who is never characterised by, or reduced to, being female. Don't get me wrong, this should be the most basic requirement in writing any character - but it's rare to see. Especially in today's climate where writers are too afraid to do anything other than ""stay in their lane"", thus saturating our media with white American males. Cause, you know, we needed more of that.<br/><br/>This book is a fantastic space caper, filled with humour, twists and turns, and an abundance of space nerdery. I couldn't be more thankful to live through the birth of this new chapter in sci-fi literature, and I hope to see books like this become more popular. 4⭐️<br/>",,,1,0
25066770,"Hawkeye, Volume 5: All-New Hawkeye",Jeff Lemire,"Lemire, Jeff","Ramón Pérez, Ian  Herring, Joe Sabino","=""0785194037""","=""9780785194033""",3,Marvel Universe,Paperback,112,2015,2015,2017/12/31,2017/12/31,,,read,,,,1,0
11049,The Boy in the Striped Pyjamas,John Boyne,"Boyne, John",,"=""0099487829""","=""9780099487821""",4,Definitions,Paperback,216,2007,2006,2017/12/31,2017/12/28,,,read,,,,1,0
34507865,The Book of Barb: A Celebration of Stranger Things' Iconic Wing Woman,Nadia Bailey,"Bailey, Nadia",,"=""1925418472""","=""9781925418477""",4,Smith Street Books,Hardcover,96,2017,,2017/12/30,2017/12/28,,,read,,,,1,0
31368214,The Twelve Days of Dash and Lily,Rachel Cohn,"Cohn, Rachel",David Levithan,"=""1405284005""","=""9781405284004""",3,Electric Monkey,Paperback,240,2016,2016,2017/12/25,2016/12/24,,,read,,,,1,0
32613366,"The Hate U Give (The Hate U Give, #1)",Angie Thomas,"Thomas, Angie",,"=""""","=""""",5,Walker Books,Paperback,448,2017,2017,2017/12/16,2017/12/06,,,read,"""The Hate U Give Little Infants F**ks Everybody"".<br/><br/>So I finally got around to reading what a lot of folks in the YA community are calling the book of the year. Angie Thomas has in fact just won the Goodreads awards for Best Young Adult Fiction for The Hate U Give and Debut Goodreads Author. I couldn't agree more.<br/><br/>The greatest joy and the greatest strength of fiction is how it sparks and kindles empathy. Throughout the history of the written word readers have found empathy in some of the most unlikely places. It's the most powerful force of humankind. It allows us to communicate, to forge connections, relationships, to build and foster ideas and tools on a global scale. It unites us, drives the progress of humanity, and we are stronger together.<br/><br/>There are a lot of people and places in the world right now lacking in empathy. The Black Lives Matter movement draws attention to one of them. With social media now allowing underprivileged voices to be heard, what has long been an open secret in black communities is on show for us all.<br/><br/>Racism is alive and thriving. Men, women and children are being preyed upon, assaulted and killed - brutally and remorselessly - by people in the law enforcement system, people who are supposed to protect us all. The victims have their entire history exposed in the media. Is it a lack of education this time? Or is it a petty crime? All symptoms of a society rigged to black people's disadvantage, but that fact is often ignored. These victims are posthumously tried in the court of public opinion, and public opinion is often ruling that these innocent people deserved their own murder! The killers? They walk free, still wearing their badge, still carrying the murder weapon, and we are told the officers are serving the community, protecting the children from these ""thugs"".<br/><br/>""But what about OUR children?"" the black community asks, after witnessing yet another innocent child shot dead by a law enforcement officer. What about the black community? What about the black children? Do their lives not matter? Do black lives not matter?<br/><br/>THUG takes us on a journey with 16 year-old Starr who witnesses the murder of one of these innocent children, her childhood friend, Khalil. As Starr navigates her grief and the greater injustice, both in black and white communities, a deeper understanding unfolds in a white reader like myself. As someone who has never experienced this insurmountable injustice, it is easy to wonder what the individual could have done differently. ""Why couldn't they have done this/that? Maybe this wouldn't have happened.""<br/><br/>Starr's story introduces you to wisdom from people on different sides of the equation: her ex-convict father, her middle-class police officer uncle, a drug-dealing friend in a gang, her upper-class white boyfriend. In every interaction, in every part of the criminal trial, THUG explains away every question or argument you could possibly have. Even if you are already well-intentioned and have tried to understand, to SEE, THUG takes you gently by the hand and turns you to face the brick wall of injustice black communities live behind. And you can understand better. Hopefully then you can DO better.<br/><br/>It all comes back to empathy. Feeling empathy for our children who have been failed by humanity. Feeling empathy for those who need it most. THUG is a vitally important read for this chapter of history in the western world.<br/><br/>An astounding novel. 5⭐️",,,1,0
24874340,Traffic,John Ruskin,"Ruskin, John",,"=""0141398140""","=""9780141398143""",3,Penguin Classics,Mass Market Paperback,59,2015,2015,2017/12/22,2015/05/29,,,read,"Some horrific thoughts on taste, but some wonderful criticism of wealth and the capitalism of the industrial revolution.",,,1,0
816552,Shantaram,Gregory David Roberts,"Roberts, Gregory David",,"=""0349117543""","=""9780349117546""",3,Abacus,Paperback,933,2005,2003,2017/12/06,2015/05/28,,,read,,,,1,0
25248510,Another Vagabond Lost To Love: Berlin Stories on Leaving & Arriving,Charlotte Eriksson,"Eriksson, Charlotte",The Glass Child,"=""1511497831""","=""9781511497831""",2,Broken Glass Records: Press & Distribution,Paperback,115,2015,2015,2017/12/01,2015/04/08,,,read,,,,1,0
25066786,"Spider-Gwen, Vol. 0: Most Wanted?",Jason Latour,"Latour, Jason",Robbi Rodriguez,"=""0785197737""","=""9780785197737""",3,Marvel Universe,Paperback,136,2015,2015,2017/11/30,2017/11/29,,,read,,,,1,0
